BatchTime,TrackTime,Time,DateTime,ID,ExtID,Type,Assoc,TrackAssoc,NonAssoc,Range,RangeStd,VelDopp,VelDoppStd,Azimuth,AzimuthStd,Elevation,ElevationStd,Age,LastAssocAge,Lat,Lon,Alt,PosNorth,PosNorthStd,PosWest,PosWestStd,PosUp,PosUpStd,VelNorth,VelNorthStd,VelWest,VelWestStd,VelUp,VelUpStd,VelAbs,Aspect,AccelNorth,AccelNorthStd,AccelWest,AccelWestStd,AccelUp,AccelUpStd,Beta,Period,RCS,POOLat,POOLon,POOAlt,POORange,POOAzimuth,POOCEP,POOTime,POOMuzzleVelocity,POOLaunchHeading,POOLaunchQE,POILat,POILon,POIAlt,POIRange,POIAzimuth,POICEP,POITime,POIImpactVelocity,POIImpactHeading,POIImpactQE,TgtRange,TgtRangeStd,TgtVel,TgtVelStd,TgtAz,TgtAzStd,TgtEl,TgtElStd,TgtSNR,TgtRCSAct,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Flags
367573726,367573726,292,2020-02-24 11:17:16:053,1770,0,0,14,0,0,1156.991,0.7187259,-10.42912,0.4715663,-53.4115,0.2731787,0.1361776,0.2662542,6.853018,0.058573,52.2236709018898,21.1204534969189,125.1347,689.6384,4.44456,928.9883,3.345611,2.749873,5.376516,-0.913909,2.75722,-12.2989,2.126458,-3.852119,2.275726,12.9204142066531,36.178523899756,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.24,0.23,0,0.24,0,0.06,0,4.8,25.03,0x22200080
367632134,367632134,351,2020-02-24 11:17:16:111,1770,0,0,14,0,0,1156.382,0.7272852,-10.42618,0.4838941,-53.39241,0.2805592,0.1251014,0.2714794,6.911426,0.116981,52.2236704236046,21.1204640085964,124.9096,689.585,4.560042,928.27,3.434871,2.524878,5.479146,-0.913909,2.758926,-12.2989,2.129563,-3.852119,2.275733,12.9204142066531,36.2005983268563,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.24,0.23,0,0.24,0,0.12,0,4.9,25.03,0x22200080
367632299,367632299,351,2020-02-24 11:17:16:111,1770,0,0,14,0,0,1156.38,0.7273108,-10.42617,0.4839285,-53.39235,0.2805803,0.1250701,0.2714942,6.911591,0.117146,52.2236704222535,21.1204640382914,124.909,689.5848,4.560372,928.2679,3.435126,2.524243,5.479437,-0.913909,2.758931,-12.2989,2.129572,-3.852119,2.275733,12.9204142066531,36.2006556107019,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.24,0.23,0,0.24,0,0.12,0,4.9,25.03,0x22200080
367690707,367690707,409,2020-02-24 11:17:16:170,1770,0,0,14,0,0,1155.771,0.736857,-10.42323,0.4959577,-53.37324,0.2881339,0.1139822,0.2767884,6.969999,0.175554,52.2236699439673,21.1204745499694,124.6838,689.5314,4.678562,927.5496,3.526521,2.299248,5.583349,-0.913909,2.760635,-12.2989,2.132673,-3.852119,2.27574,12.9204142066531,36.2227541774647,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.24,0.23,0,0.24,0,0.18,0,5,25.03,0x22200080
367690872,367690872,410,2020-02-24 11:17:16:170,1770,0,0,14,0,0,1155.77,0.7368854,-10.42322,0.4959913,-53.37319,0.2881554,0.1139508,0.2768034,6.970164,0.175719,52.2236699426162,21.1204745796644,124.6832,689.5313,4.6789,927.5475,3.526782,2.298612,5.583644,-0.913909,2.76064,-12.2989,2.132682,-3.852119,2.27574,12.9204142066531,36.2228185877602,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.24,0.23,0,0.24,0,0.18,0,5,25.03,0x22200080
367749279,367749279,468,2020-02-24 11:17:16:228,1770,0,0,14,0,0,1155.161,0.7474343,-10.42027,0.507743,-53.35406,0.2958699,0.1028513,0.2821631,7.028571,0.234126,52.2236694643372,21.1204850911629,124.4581,689.4779,4.799602,926.8292,3.62016,2.073622,5.688765,-0.913909,2.762344,-12.2989,2.135778,-3.852119,2.275747,12.9204142066531,36.2449341026258,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.24,0.23,0,0.24,0,0.23,0,5.2,25.03,0x22200080
367749444,367749444,468,2020-02-24 11:17:16:228,1770,0,0,14,0,1,1155.159,0.7474656,-10.42027,0.5077758,-53.354,0.2958919,0.10282,0.2821784,7.028736,0.234291,52.2236694629861,21.1204851208579,124.4575,689.4777,4.799946,926.8272,3.620427,2.072986,5.689064,-0.913909,2.762348,-12.2989,2.135787,-3.852119,2.275747,12.9204142066531,36.2449984789044,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.23,0,5.2,25.03,0x22200080
367807852,367807852,526,2020-02-24 11:17:16:287,1770,0,0,14,0,1,1154.551,0.7590287,-10.41731,0.5192561,-53.33485,0.3037566,0.09170856,0.2876006,7.087144,0.292699,52.223668984698,21.120495632537,124.2324,689.4244,4.922986,926.1088,3.715653,1.847992,5.795331,-0.913909,2.764049,-12.2989,2.138875,-3.852119,2.275753,12.9204142066531,36.2671380675374,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.29,0,5.3,25.03,0x22200080
367808017,367808017,527,2020-02-24 11:17:16:287,1770,0,0,14,0,1,1154.549,0.7590628,-10.4173,0.5192881,-53.3348,0.303779,0.09167714,0.287616,7.087309,0.292864,52.2236689833468,21.120495662232,124.2317,689.4242,4.923337,926.1068,3.715925,1.847356,5.795633,-0.913909,2.764054,-12.2989,2.138883,-3.852119,2.275753,12.9204142066531,36.267202409808,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.29,0,5.3,25.03,0x22200080
367866425,367866425,585,2020-02-24 11:17:16:345,1770,0,0,14,0,1,1153.94,0.7716467,-10.41435,0.5305275,-53.31562,0.3117839,0.08055398,0.2930977,7.145717,0.351272,52.2236685050578,21.1205061739115,124.0066,689.3708,5.048547,925.3885,3.812871,1.622361,5.902984,-0.913909,2.765753,-12.2989,2.141967,-3.852119,2.27576,12.9204142066531,36.2893660374532,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.35,0,5.4,25.03,0x22200080
